Global_Time,Global_X,Global_Y,v_Vel,v_Acc
0,679864.4007,419283.8057,11.12,0
1,679864.4159,419284.144,11.12,0
2,679864.4315,419284.4826,11.12,0
3,679864.4467,419284.8213,11.12,0
4,679864.4623,419285.1599,11.12,0
5,679864.4775,419285.4985,11.12,0
6,679864.493,419285.8372,11.12,0
7,679864.5083,419286.1755,11.12,0
8,679864.5238,419286.5141,11.12,0
9,679864.5391,419286.8528,11.12,0
10,679864.5546,419287.1914,11.12,0
11,679864.5699,419287.53,11.12,0
12,679864.5854,419287.8687,11.12,0
13,679864.6006,419288.207,11.12,0
14,679864.6162,419288.5456,11.12,0
15,679864.6314,419288.8843,11.12,0
16,679864.647,419289.2229,11.12,0
17,679864.6625,419289.5615,11.12,0
18,679864.6778,419289.8998,11.12,0
19,679864.6933,419290.2385,11.12,0
20,679864.7085,419290.5771,11.12,0
21,679864.7241,419290.9157,11.12,0
22,679864.7393,419291.2544,11.12,0
23,679864.7549,419291.593,11.12,0
24,679864.7701,419291.9313,11.12,0
25,679864.7857,419292.27,11.14,0.34
26,679864.8009,419292.6086,11.15,0
27,679864.8164,419292.9472,10.93,-3.52
28,679864.8323,419293.2968,10.22,-10.18
29,679864.8481,419293.6151,8.91,-11.21
30,679864.8603,419293.8586,7.11,-11.21
31,679864.8676,419294.0463,5.15,-11.21
32,679864.8713,419294.1719,3.38,-11.22
33,679864.8728,419294.2304,1.94,-11.22
34,679864.8744,419294.2676,0.91,-7.91
35,679864.8747,419294.2762,0.32,-4.1
36,679864.8744,419294.2673,0.04,-1.29
37,679864.8744,419294.2673,0.04,-0.23
38,679864.8744,419294.2673,0,0.25
39,679864.8744,419294.2673,0,0
40,679864.8744,419294.2673,0,0
41,679864.8744,419294.2673,0,0
42,679864.8744,419294.2673,0,0
43,679864.8744,419294.2673,0,0
44,679864.8744,419294.2673,0,0
45,679864.8744,419294.2673,0,0
46,679864.8744,419294.2673,0,0
47,679864.8744,419294.2673,0,0
48,679864.8744,419294.2673,0,0
49,679864.8744,419294.267,0,0.13
50,679864.8744,419294.267,0,0.27
51,679864.8747,419294.2682,0.06,0.35
52,679864.8753,419294.2704,0.09,0.29
53,679864.8762,419294.274,0.11,0.14
54,679864.8774,419294.2777,0.11,0
55,679864.8783,419294.281,0.11,-0.03
56,679864.8795,419294.2844,0.11,0
57,679864.8805,419294.2877,0.11,0
58,679864.8817,419294.2911,0.11,0
59,679864.8826,419294.2945,0.11,0
60,679864.8835,419294.2978,0.11,0
61,679864.8847,419294.3012,0.11,0
62,679864.8856,419294.3045,0.11,0
63,679864.8865,419294.3079,0.11,0
