Global_Time,Global_X,Global_Y,v_Vel,v_Acc,Time_diff,Pred_X,Pred_Y,Haversine_Distance,Calculated_Speed
0,679864.4007,419283.8057,11.12,0,,679864.4159,419284.144,0,
1,679864.4159,419284.144,11.12,0,1,679864.4315,419284.4826,37624.55247,37624.55247
2,679864.4315,419284.4826,11.12,0,1,679864.4467,419284.8213,37658.10861,37658.10861
3,679864.4467,419284.8213,11.12,0,1,679864.4623,419285.1599,37668.67176,37668.67176
4,679864.4623,419285.1599,11.12,0,1,679864.4775,419285.4985,37657.74317,37657.74317
5,679864.4775,419285.4985,11.12,0,1,679864.493,419285.8372,37657.21079,37657.21079
6,679864.493,419285.8372,11.12,0,1,679864.5083,419286.1755,37668.41577,37668.41577
7,679864.5083,419286.1755,11.12,0,1,679864.5238,419286.5141,37623.60415,37623.60415
8,679864.5238,419286.5141,11.12,0,1,679864.5391,419286.8528,37656.95202,37656.95202
9,679864.5391,419286.8528,11.12,0,1,679864.5546,419287.1914,37667.74089,37667.74089
10,679864.5546,419287.1914,11.12,0,1,679864.5699,419287.53,37656.61308,37656.61308
11,679864.5699,419287.53,11.12,0,1,679864.5854,419287.8687,37656.29666,37656.29666
12,679864.5854,419287.8687,11.12,0,1,679864.6006,419288.207,37667.39963,37667.39963
13,679864.6006,419288.207,11.12,0,1,679864.6162,419288.5456,37622.55393,37622.55393
14,679864.6162,419288.5456,11.12,0,1,679864.6314,419288.8843,37656.02788,37656.02788
15,679864.6314,419288.8843,11.12,0,1,679864.647,419289.2229,37666.71859,37666.71859
16,679864.647,419289.2229,11.12,0,1,679864.6625,419289.5615,37655.70838,37655.70838
17,679864.6625,419289.5615,11.12,0,1,679864.6778,419289.8998,37655.48851,37655.48851
18,679864.6778,419289.8998,11.12,0,1,679864.6933,419290.2385,37621.86027,37621.86027
19,679864.6933,419290.2385,11.12,0,1,679864.7085,419290.5771,37666.30375,37666.30375
20,679864.7085,419290.5771,11.12,0,1,679864.7241,419290.9157,37654.86724,37654.86724
21,679864.7241,419290.9157,11.12,0,1,679864.7393,419291.2544,37654.94656,37654.94656
22,679864.7393,419291.2544,11.12,0,1,679864.7549,419291.593,37665.7064,37665.7064
23,679864.7549,419291.593,11.12,0,1,679864.7701,419291.9313,37654.65688,37654.65688
24,679864.7701,419291.9313,11.12,0,1,679864.7857,419292.27,37620.96218,37620.96218
25,679864.7857,419292.27,11.14,0.34,1,679864.8009,419292.6086,37665.49463,37665.49463
26,679864.8009,419292.6086,11.15,0,1,679864.8164,419292.9472,37654.05513,37654.05513
27,679864.8164,419292.9472,10.93,-3.52,1,679864.8323,419293.2968,37654.0598,37654.0598
28,679864.8323,419293.2968,10.22,-10.18,1,679864.8481,419293.6151,38877.13489,38877.13489
29,679864.8481,419293.6151,8.91,-11.21,1,679864.8603,419293.8586,35396.88029,35396.88029
30,679864.8603,419293.8586,7.11,-11.21,1,679864.8676,419294.0463,27078.62965,27078.62965
31,679864.8676,419294.0463,5.15,-11.21,1,679864.8713,419294.1719,20872.49387,20872.49387
32,679864.8713,419294.1719,3.38,-11.22,1,679864.8728,419294.2304,13966.53709,13966.53709
33,679864.8728,419294.2304,1.94,-11.22,1,679864.8744,419294.2676,6505.061709,6505.061709
34,679864.8744,419294.2676,0.91,-7.91,1,679864.8747,419294.2762,4136.733205,4136.733205
35,679864.8747,419294.2762,0.32,-4.1,1,679864.8744,419294.2673,956.3191193,956.3191193
36,679864.8744,419294.2673,0.04,-1.29,1,679864.8744,419294.2673,989.6761604,989.6761604
37,679864.8744,419294.2673,0.04,-0.23,1,679864.8744,419294.2673,0,0
38,679864.8744,419294.2673,0,0.25,1,679864.8744,419294.2673,0,0
39,679864.8744,419294.2673,0,0,1,679864.8744,419294.2673,0,0
40,679864.8744,419294.2673,0,0,1,679864.8744,419294.2673,0,0
41,679864.8744,419294.2673,0,0,1,679864.8744,419294.2673,0,0
42,679864.8744,419294.2673,0,0,1,679864.8744,419294.2673,0,0
43,679864.8744,419294.2673,0,0,1,679864.8744,419294.2673,0,0
44,679864.8744,419294.2673,0,0,1,679864.8744,419294.2673,0,0
45,679864.8744,419294.2673,0,0,1,679864.8744,419294.2673,0,0
46,679864.8744,419294.2673,0,0,1,679864.8744,419294.2673,0,0
47,679864.8744,419294.2673,0,0,1,679864.8744,419294.2673,0,0
48,679864.8744,419294.2673,0,0,1,679864.8744,419294.267,0,0
49,679864.8744,419294.267,0,0.13,1,679864.8744,419294.267,33.35847556,33.35847556
50,679864.8744,419294.267,0,0.27,1,679864.8747,419294.2682,0,0
51,679864.8747,419294.2682,0.06,0.35,1,679864.8753,419294.2704,133.7401191,133.7401191
52,679864.8753,419294.2704,0.09,0.29,1,679864.8762,419294.274,245.2966508,245.2966508
53,679864.8762,419294.274,0.11,0.14,1,679864.8774,419294.2777,401.2198458,401.2198458
54,679864.8774,419294.2777,0.11,0,1,679864.8783,419294.281,413.0073557,413.0073557
55,679864.8783,419294.281,0.11,-0.03,1,679864.8795,419294.2844,367.9437307,367.9437307
56,679864.8795,419294.2844,0.11,0,1,679864.8805,419294.2877,379.7867549,379.7867549
57,679864.8805,419294.2877,0.11,0,1,679864.8817,419294.2911,368.1769914,368.1769914
58,679864.8817,419294.2911,0.11,0,1,679864.8826,419294.2945,379.7853257,379.7853257
59,679864.8826,419294.2945,0.11,0,1,679864.8835,419294.2978,379.0322583,379.0322583
60,679864.8835,419294.2978,0.11,0,1,679864.8847,419294.3012,367.9416444,367.9416444
61,679864.8847,419294.3012,0.11,0,1,679864.8856,419294.3045,379.7831724,379.7831724
62,679864.8856,419294.3045,0.11,0,1,679864.8865,419294.3079,367.9408267,367.9408267
63,679864.8865,419294.3079,0.11,0,1,679864.8878,419294.3112,379.0306427,379.0306427
64,679864.8878,419294.3112,0.11,0,1,679864.8887,419294.3146,369.0198042,369.0198042
65,679864.8887,419294.3146,0.11,0,1,679864.8899,419294.3179,379.029844,379.029844
66,679864.8899,419294.3179,0.11,0,1,679864.8908,419294.3213,368.7118954,368.7118954
67,679864.8908,419294.3213,0.11,0,1,679864.8917,419294.3249,379.0290342,379.0290342
68,679864.8917,419294.3249,0.11,0,1,679864.8929,419294.3283,401.214068,401.214068
69,679864.8929,419294.3283,0.11,0,1,679864.8939,419294.3316,379.7773997,379.7773997
70,679864.8939,419294.3316,0.11,0,1,679864.8951,419294.335,368.1702913,368.1702913
71,679864.8951,419294.335,0.11,0,1,679864.896,419294.3383,379.7759801,379.7759801
72,679864.896,419294.3383,0.11,0,1,679864.8969,419294.3417,367.9366369,367.9366369
73,679864.8969,419294.3417,0.11,0,1,679864.8981,419294.3451,379.0265876,379.0265876
74,679864.8981,419294.3451,0.11,0,1,679864.899,419294.3484,379.7738316,379.7738316
75,679864.899,419294.3484,0.11,0,1,679864.9,419294.3518,367.9353957,367.9353957
76,679864.9,419294.3518,0.11,0,1,679864.9012,419294.3551,379.2508255,379.2508255
77,679864.9012,419294.3551,0.11,0,1,679864.9021,419294.3585,368.7037382,368.7037382
78,679864.9021,419294.3585,0.11,0,1,679864.9033,419294.3618,379.0245805,379.0245805
79,679864.9033,419294.3618,0.11,0,1,679864.9042,419294.3652,368.702278,368.702278
80,679864.9042,419294.3652,0.11,0,1,679864.9051,419294.3685,379.0237725,379.0237725
81,679864.9051,419294.3685,0.12,0,1,679864.9064,419294.3722,367.9329104,367.9329104
82,679864.9064,419294.3722,0.12,0,1,679864.9073,419294.3755,413.2604094,413.2604094
83,679864.9073,419294.3755,0.11,0,1,679864.9082,419294.3789,367.9320592,367.9320592
84,679864.9082,419294.3789,0.11,0,1,679864.9094,419294.3822,379.0221332,379.0221332
85,679864.9094,419294.3822,0.11,0,1,679864.9103,419294.3856,368.6978113,368.6978113
86,679864.9103,419294.3856,0.11,0,1,679864.9115,419294.3889,379.021332,379.021332
87,679864.9115,419294.3889,0.11,0,1,679864.9125,419294.3923,368.6963591,368.6963591
88,679864.9125,419294.3923,0.11,0,1,679864.9134,419294.3956,379.2448458,379.2448458
89,679864.9134,419294.3956,0.11,0,1,679864.9146,419294.399,367.929572,367.929572
90,679864.9146,419294.399,0.11,0,1,679864.9155,419294.4024,379.762383,379.762383
91,679864.9155,419294.4024,0.11,0,1,679864.9167,419294.4057,379.0193359,379.0193359
92,679864.9167,419294.4057,0.11,0,1,679864.9176,419294.4091,368.6926788,368.6926788
93,679864.9176,419294.4091,0.11,0,1,679864.9186,419294.4124,379.0185244,379.0185244
94,679864.9186,419294.4124,0.11,0,1,679864.9198,419294.4158,368.1579973,368.1579973
95,679864.9198,419294.4158,0.11,0,1,679864.9207,419294.4191,379.7588351,379.7588351
96,679864.9207,419294.4191,0.12,0,1,679864.9216,419294.4228,367.9266812,367.9266812
97,679864.9216,419294.4228,0.11,0,1,679864.9228,419294.4261,412.2981958,412.2981958
98,679864.9228,419294.4261,0.11,0,1,679864.9237,419294.4295,368.688229,368.688229
99,679864.9237,419294.4295,0.11,0,1,679864.925,419294.4328,379.0160958,379.0160958
100,679864.925,419294.4328,0.11,0,1,679864.9259,419294.4362,368.9886286,368.9886286
101,679864.9259,419294.4362,0.11,0,1,679864.9268,419294.4395,379.0152909,379.0152909
102,679864.9268,419294.4395,0.11,0,1,679864.928,419294.4429,367.9241749,367.9241749
103,679864.928,419294.4429,0.11,0,1,679864.9289,419294.4462,379.7531002,379.7531002
104,679864.9289,419294.4462,0.11,0,1,679864.9298,419294.4496,367.9233526,367.9233526
105,679864.9298,419294.4496,0.11,0,1,679864.931,419294.453,379.0136941,379.0136941
106,679864.931,419294.453,0.11,0,1,679864.932,419294.4563,379.7509536,379.7509536
107,679864.932,419294.4563,0.11,0,1,679864.9332,419294.4597,368.1513569,368.1513569
108,679864.9332,419294.4597,0.11,0,1,679864.9341,419294.463,379.7495381,379.7495381
109,679864.9341,419294.463,0.11,0,1,679864.935,419294.4664,367.9212914,367.9212914
110,679864.935,419294.4664,0.11,0,1,679864.9362,419294.47,379.011694,379.011694
111,679864.9362,419294.47,0.11,0,1,679864.9371,419294.4734,401.8931621,401.8931621
112,679864.9371,419294.4734,0.11,0,1,679864.9384,419294.4767,379.0108666,379.0108666
113,679864.9384,419294.4767,0.11,0,1,679864.9393,419294.4801,368.9774244,368.9774244
114,679864.9393,419294.4801,0.11,0,1,679864.9402,419294.4834,379.010064,379.010064
115,679864.9402,419294.4834,0.11,0,1,679864.9414,419294.4868,367.9187972,367.9187972
116,679864.9414,419294.4868,0.11,0,1,679864.9423,419294.4901,379.7438239,379.7438239
117,679864.9423,419294.4901,0.11,0,1,679864.9432,419294.4935,367.917971,367.917971
118,679864.9432,419294.4935,0.11,0,1,679864.9445,419294.4968,379.0084711,379.0084711
119,679864.9445,419294.4968,0.11,0,1,679864.9454,419294.5002,368.9723038,368.9723038
120,679864.9454,419294.5002,0.11,0,1,679864.9466,419294.5035,379.007681,379.007681
